Name;Region;City;Latitude;Longitude;Address;SubwayStation;Local Train Station;Check Dubki Bus;Transport;TramStop
Общежитие 1;;Москва;55,78731;37,640911;ул. Б. Переяславская, д. 50, стр.1;Проспект Мира,Рижская,Комсомольская;;false;;
Общежитие 2;;Москва;55,755925;37,752338;Электродная ул., д. 1;Шоссе Энтузиастов;;false;;
Общежитие 3;;Москва;55,759263;37,705023;Энергетическая ул., д. 10, корп. 2;Авиамоторная;;false;43,46,32;Спутник
Общежитие 4;;Москва;55,739093;37,545105;Студенческая ул., д. 33 к.1;Студенческая;;false;;
Общежитие 5;;Москва;55,816793;37,645106;Кибальчича ул., д. 7;ВДНХ;;false;;
Общежитие 6;Московская область;Одинцово;55,667243;37,2806823;ул. Комсомольская, д.1;;Одинцово;false;454,339;
Общежитие 8;Московская область;Одинцово;55,669854;37,27968;ул. Маковского, д. 2;;Одинцово;false;454,339;
Общежитие 10;;Москва;55,722076;37,782826;ул. Михайлова, д. 34;Рязанский Проспект;;false;;
Общежитие Дубки 1;Московская область;Одинцовский район, пос. ВНИИССОК;55,6604046;37,2267589;ул. Дениса Давыдова, д.1;;;true;;
Общежитие Дубки 2;Московская область;Одинцовский район, пос. ВНИИССОК;55,6604046;37,2267589;ул. Дениса Давыдова, д.3;;;true;;
Общежитие Дубки 3;Московская область;Одинцовский район, пос. ВНИИССОК;55,6604046;37,2267589;ул. Дениса Давыдова, д.9;;;true;;
Мясницкая 11;;Москва;55,761695;37,632664;ул. Мясницкая,д. 11;Лубянка;;false;;
Мясницкая 18;;Москва;55,761138;37,632727;ул. Мясницкая,д. 18;Лубянка;;false;;
Мясницкая 20;;Москва;55,761345;37,632969;Мясницкая,д. 20;Лубянка;;false;;
Мясницкая 22;;Москва;55,762171;37,634748;ул. Мясницкая,д. 22,стр. 1;Лубянка;;false;;
Мясницкая 24;;Москва;55,762667;37,635206;ул. Мясницкая,д. 24,стр. 3;Лубянка;;false;;
Кривоколенный 3;;Москва;55,761041;37,633571;Кривоколенный пер.,д. 3А;Лубянка;;false;;
Славянская площадь 4;;Москва;55,753438;37,636266;Славянская площадь,д. 4,стр. 2;Китай-Город;;false;;
Гнездниковский 4;;Москва;55,76169;37,60611;М. Гнездниковский пер,д. 4;Тверская,Пушкинская,Чеховская;;false;;
Трехсвятительский 3;;Москва;55,755368;37,646471;Б. Трёхсвятительский пер.,д. 3;Китай-Город,Курская,Чкаловская;;false;;
Харитоньевский 4;;Москва;55,763594;37,643758;Большой Харитоньевский переулок,д. 4;Чистые Пруды,Сретенский Бульвар;;false;;
Кочновский 3;;Москва;55,806661;37,541719;Кочновский проезд,д. 3;Аэропорт;;false;;
Петровка 12;;Москва;55,762839;37,618516;ул. Петровка,д. 12,стр. 1;Кузнецкий Мост;;false;;
Ордынка 17;;Москва;55,737512;37,626304;ул. М. Ордынка,д. 17;Третьяковская,Новокузнецкая;;false;;
Варшавское 44;;Москва;55,674585;37,624831;Варшавское ш.,д. 44а;Нагатинская;;false;;
Пионерская 12;;Москва;55,728358;37,63517;ул. М. Пионерская,д. 12;Павелецкая;;false;;
Волгоградский 46;;Москва;55,703758;37,726134;Волгоградский пр-т,д. 46б;Текстильщики;;false;;
Космонавта Волкова 18;;Москва;55,815762;37,524974;ул. Космонавта Волкова,д. 18;Войковская,Сокол;;false;;
Кирпичная 33;;Москва;55,77873;37,733221;ул. Кирпичная,д. 33;Семеновская;;false;43,46,32;Кирпичная улица
Измайловское 44;;Москва;55,779347;37,733751;Измайловское ш.,д. 44;Семеновская;;false;;
Трифоновская 57;;Москва;55,790216;37,631092;ул. Трифоновская,д. 57,стр. 1;Рижская;;false;;
Шаболовка 26;;Москва;55,72055;37,609245;ул. Шаболовка,д. 26;Шаболовская;;false;;
Трехсвятительский 8;;Москва;55,754091;37,646552;М. Трехсвятительский пер.,8/2;Китай-Город,Курская,Чкаловская;;false;;
Покровский 8;;Москва;55,757303;37,646579;Покровский б-р,д. 8,стр. 1;Китай-Город,Курская,Чкаловская;;false;;
Хитровский 2;;Москва;55,753554;37,644773;Хитровский пер.,д. 2-8;Китай-Город;;false;;
Вавилова 7;;Москва;55,704874;37,585359;ул. Вавилова,д. 7;Ленинский Проспект;;false;;
Ильинка 13;;Москва;55,755864;37,628029;ул. Ильинка,д. 13;Китай-Город;;false;;
Кибальчича 7;;Москва;55,816793;37,645106;ул. Кибальчича,д. 7;ВДНХ;;false;;
Потаповский 16;;Москва;55,759512;37,640381;Потаповский пер.,д. 16,стр. 10;Китай-Город,Курская,Чкаловская;;false;;
Басманная 21;;Москва;55,766734;37,663288;ул. Ст. Басманная,д. 21/4,стр. 1;Красные Ворота,Бауманская;;false;;
Шаболовка 31;;Москва;55,720611;37,610359;ул. Шаболовка,д. 31;Шаболовская;;false;;
Таллинская 34;;Москва;55,803469;37,409846;ул. Таллинская,д. 34;Строгино;;false;;
Шаболовка 28;;Москва;55,720134;37,609065;ул. Шаболовка,д. 28/11;Шаболовская;;false;;
Колобовский 8;;Москва;55,769646;37,618911;3-й Колобовский пер.,д. 8,стр. 2;Трубная;;false;;
Лялин 3;;Москва;55,760773;37,652229;Лялин переулок,д. 3,а;Китай-Город,Курская,Чкаловская;;false;;
Переяславская 50;;Москва;55,78731;37,640911;ул. Б. Переяславская,д. 50 стр. 1;Рижская;;false;;