Name;Address;Latitude;Longitude;Subway Station
Мясницкая 11;ул. Мясницкая,д. 11;55,761695;37,632664;Лубянка
Мясницкая 18;ул. Мясницкая,д. 18;55,761138;37,632727;Лубянка
Мясницкая 20;Мясницкая,д. 20;55,761345;37,632969;Лубянка
Мясницкая 22;ул. Мясницкая,д. 22,стр. 1;55,762171;37,634748;Лубянка
Мясницкая 24;ул. Мясницкая,д. 24,стр. 3;55,762667;37,635206;Лубянка
Кривоколенный 3А;Кривоколенный пер.,д. 3А;55,761041;37,633571;Лубянка
Славянская площадь 4;Славянская площадь,д. 4,стр. 2;55,753438;37,636266;Китай-Город
Гнездниковский 4;М. Гнездниковский пер,д. 4;55,76169;37,60611;Тверская,Пушкинская,Чеховская
Трехсвятительский 3;Б. Трёхсвятительский пер.,д. 3;55,755368;37,646471;Китай-Город,Курская,Чкаловская
Харитоньевский 4;Большой Харитоньевский переулок,д. 4;55,763594;37,643758;Чистые Пруды,Сретенский Бульвар
Кочновский 3;Кочновский проезд,д. 3;55,806661;37,541719;Аэропорт
Петровка 12;ул. Петровка,д. 12,стр. 1;55,762839;37,618516;Кузнецкий Мост
Ордынка 17;ул. М. Ордынка,д. 17;55,737512;37,626304;Третьяковская,Новокузнецкая
Варшавское 44а;Варшавское ш.,д. 44а;55,674585;37,624831;Нагатинская
Пионерская 12;ул. М. Пионерская,д. 12;55,728358;37,63517;Павелецкая
Волгоградский 46б;Волгоградский пр-т,д. 46б;55,703758;37,726134;Текстильщики
Космонавта Волкова 18;ул. Космонавта Волкова,д. 18;55,815762;37,524974;Войковская,Сокол
Кирпичная 33;ул. Кирпичная,д. 33;55,77873;37,733221;Семеновская
Измайловское 44;Измайловское ш.,д. 44;55,779347;37,733751;Семеновская
Трифоновская 57;ул. Трифоновская,д. 57,стр. 1;55,790216;37,631092;Рижская
Шаболовка 26;ул. Шаболовка,д. 26;55,72055;37,609245;Шаболовская
Трехсвятительский 8/2;М. Трехсвятительский пер.,8/2;55,754091;37,646552;Китай-Город,Курская,Чкаловская
Покровский 8;Покровский б-р,д. 8,стр. 1;55,757303;37,646579;Китай-Город,Курская,Чкаловская
Хитровский  2-8;Хитровский пер.,д. 2-8;55,753554;37,644773;Китай-Город
Вавилова 7;ул. Вавилова,д. 7;55,704874;37,585359;Ленинский Проспект
Ильинка 13;ул. Ильинка,д. 13;55,755864;37,628029;Китай-Город
Кибальчича 7;ул. Кибальчича,д. 7;55,816793;37,645106;ВДНХ
Потаповский 16;Потаповский пер.,д. 16,стр. 10;55,759512;37,640381;Китай-Город,Курская,Чкаловская
Басманная 21/4;ул. Ст. Басманная,д. 21/4,стр. 1;55,766734;37,663288;Красные Ворота,Бауманская
Шаболовка 31;ул. Шаболовка,д. 31;55,720611;37,610359;Шаболовская
Таллинская 34;ул. Таллинская,д. 34;55,803469;37,409846;Строгино
Шаболовка 28/11;ул. Шаболовка,д. 28/11;55,720134;37,609065;Шаболовская
Колобовский 8;3-й Колобовский пер.,д. 8,стр. 2;55,769646;37,618911;Трубная
Лялин 3;Лялин переулок,д. 3,а;55,760773;37,652229;Китай-Город,Курская,Чкаловская
Переяславская 50;ул. Б. Переяславская,д. 50 стр. 1;55,78731;37,640911;Рижская